File_name,Count,Day,Fluor_type,Lower_threshold,Well_no,Soil_initials,Soil_type,Sterilization_status,Inoc_type
Bsal_D1_A1_dead,0,1,Red,10,A1,B,Broth,Non-autoclaved,10^3
Bsal_D1_A1_live,0,1,Green,10,A1,B,Broth,Non-autoclaved,10^3
Bsal_D1_A2_dead,0,1,Red,10,A2,B,Broth,Non-autoclaved,10^3
Bsal_D1_A2_live,0,1,Green,10,A2,B,Broth,Non-autoclaved,10^3
Bsal_D1_A3_dead,0,1,Red,10,A3,B,Broth,Non-autoclaved,10^3
Bsal_D1_A3_live,0,1,Green,10,A3,B,Broth,Non-autoclaved,10^3
Bsal_D1_A4_dead,28.5,1,Red,10,A4,B,Broth,Non-autoclaved,10^4
Bsal_D1_A4_live,164,1,Green,10,A4,B,Broth,Non-autoclaved,10^4
Bsal_D1_A5_dead,24,1,Red,10,A5,B,Broth,Non-autoclaved,10^4
Bsal_D1_A5_live,14,1,Green,10,A5,B,Broth,Non-autoclaved,10^4
Bsal_D1_A6_dead,46.5,1,Red,10,A6,B,Broth,Non-autoclaved,10^4
Bsal_D1_A6_live,161,1,Green,10,A6,B,Broth,Non-autoclaved,10^4
Bsal_D1_A7_dead,0,1,Red,10,A7,B,Broth,Autoclaved,10^3
Bsal_D1_A7_live,0,1,Green,10,A7,B,Broth,Autoclaved,10^3
Bsal_D1_A8_dead,0,1,Red,10,A8,B,Broth,Autoclaved,10^3
Bsal_D1_A8_live,1,1,Green,10,A8,B,Broth,Autoclaved,10^3
Bsal_D1_A9_dead,0,1,Red,10,A9,B,Broth,Autoclaved,10^3
Bsal_D1_A9_live,0,1,Green,10,A9,B,Broth,Autoclaved,10^3
Bsal_D1_A10_dead,53,1,Red,10,A10,B,Broth,Autoclaved,10^4
Bsal_D1_A10_live,282,1,Green,10,A10,B,Broth,Autoclaved,10^4
Bsal_D1_A11_dead,30,1,Red,10,A11,B,Broth,Autoclaved,10^4
Bsal_D1_A11_live,348,1,Green,10,A11,B,Broth,Autoclaved,10^4
Bsal_D1_A12_dead,7.5,1,Red,10,A12,B,Broth,Autoclaved,10^4
Bsal_D1_A12_live,462,1,Green,10,A12,B,Broth,Autoclaved,10^4
Bsal_D1_B1_dead,10,1,Red,10,B1,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D1_B1_live,705,1,Green,10,B1,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D1_B2_dead,98,1,Red,10,B2,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D1_B2_live,799,1,Green,10,B2,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D1_B3_dead,24,1,Red,10,B3,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D1_B3_live,1428,1,Green,10,B3,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D1_B4_dead,279,1,Red,10,B4,FD,Fontana Dam,Non-autoclaved,10^4
Bsal_D1_B4_live,1275,1,Green,10,B4,FD,Fontana Dam,Non-autoclaved,10^4
Bsal_D1_B5_dead,45,1,Red,10,B5,FD,Fontana Dam,Non-autoclaved,10^4
Bsal_D1_B5_live,1198,1,Green,10,B5,FD,Fontana Dam,Non-autoclaved,10^4
Bsal_D1_B6_dead,18,1,Red,10,B6,FD,Fontana Dam,Non-autoclaved,10^4
Bsal_D1_B6_live,1246,1,Green,10,B6,FD,Fontana Dam,Non-autoclaved,10^4
Bsal_D1_B7_dead,20,1,Red,10,B7,FD,Fontana Dam,Autoclaved,10^3
Bsal_D1_B7_live,18,1,Green,10,B7,FD,Fontana Dam,Autoclaved,10^3
Bsal_D1_B8_dead,12,1,Red,10,B8,FD,Fontana Dam,Autoclaved,10^3
Bsal_D1_B8_live,7,1,Green,10,B8,FD,Fontana Dam,Autoclaved,10^3
Bsal_D1_B9_dead,26.5,1,Red,10,B9,FD,Fontana Dam,Autoclaved,10^3
Bsal_D1_B9_live,5.5,1,Green,10,B9,FD,Fontana Dam,Autoclaved,10^3
Bsal_D1_B10_dead,21,1,Red,10,B10,FD,Fontana Dam,Autoclaved,10^4
Bsal_D1_B10_live,19,1,Green,10,B10,FD,Fontana Dam,Autoclaved,10^4
Bsal_D1_B11_dead,35,1,Red,10,B11,FD,Fontana Dam,Autoclaved,10^4
Bsal_D1_B11_live,27.5,1,Green,10,B11,FD,Fontana Dam,Autoclaved,10^4
Bsal_D1_B12_dead,2.5,1,Red,10,B12,FD,Fontana Dam,Autoclaved,10^4
Bsal_D1_B12_live,29,1,Green,10,B12,FD,Fontana Dam,Autoclaved,10^4
Bsal_D1_C1_dead,3,1,Red,10,C1,NG,Newfound Gap,Non-autoclaved,10^3
Bsal_D1_C1_live,513,1,Green,10,C1,NG,Newfound Gap,Non-autoclaved,10^3
Bsal_D1_C2_dead,10,1,Red,10,C2,NG,Newfound Gap,Non-autoclaved,10^3
Bsal_D1_C2_live,827,1,Green,10,C2,NG,Newfound Gap,Non-autoclaved,10^3
Bsal_D1_C3_dead,5,1,Red,10,C3,NG,Newfound Gap,Non-autoclaved,10^3
Bsal_D1_C3_live,515,1,Green,10,C3,NG,Newfound Gap,Non-autoclaved,10^3
Bsal_D1_C4_dead,13,1,Red,10,C4,NG,Newfound Gap,Non-autoclaved,10^4
Bsal_D1_C4_live,519,1,Green,10,C4,NG,Newfound Gap,Non-autoclaved,10^4
Bsal_D1_C5_dead,25.5,1,Red,10,C5,NG,Newfound Gap,Non-autoclaved,10^4
Bsal_D1_C5_live,925,1,Green,10,C5,NG,Newfound Gap,Non-autoclaved,10^4
Bsal_D1_C6_dead,11,1,Red,10,C6,NG,Newfound Gap,Non-autoclaved,10^4
Bsal_D1_C6_live,864,1,Green,10,C6,NG,Newfound Gap,Non-autoclaved,10^4
Bsal_D1_C7_dead,1,1,Red,10,C7,NG,Newfound Gap,Autoclaved,10^3
Bsal_D1_C7_live,0,1,Green,10,C7,NG,Newfound Gap,Autoclaved,10^3
Bsal_D1_C8_dead,4,1,Red,10,C8,NG,Newfound Gap,Autoclaved,10^3
Bsal_D1_C8_live,1,1,Green,10,C8,NG,Newfound Gap,Autoclaved,10^3
Bsal_D1_C9_dead,1,1,Red,10,C9,NG,Newfound Gap,Autoclaved,10^3
Bsal_D1_C9_live,2,1,Green,10,C9,NG,Newfound Gap,Autoclaved,10^3
Bsal_D1_C10_dead,0,1,Red,10,C10,NG,Newfound Gap,Autoclaved,10^4
Bsal_D1_C10_live,45,1,Green,10,C10,NG,Newfound Gap,Autoclaved,10^4
Bsal_D1_C11_dead,3,1,Red,10,C11,NG,Newfound Gap,Autoclaved,10^4
Bsal_D1_C11_live,87,1,Green,10,C11,NG,Newfound Gap,Autoclaved,10^4
Bsal_D1_C12_dead,9,1,Red,10,C12,NG,Newfound Gap,Autoclaved,10^4
Bsal_D1_C12_live,73,1,Green,10,C12,NG,Newfound Gap,Autoclaved,10^4
