SampleID,Sample_Name,Day,Pathogen_type,Site,Soil_treatment,,Sample_or_control
demultiplex.bc1008--bc1105.hifi_reads.fastq,Bsal_D14_FDA_1.1,14,Bsal,Fontana_Dam,Autoclaved,,Control
demultiplex.bc1012--bc1035.hifi_reads.fastq,Bsal_D14_FDA 1.2,14,Bsal,Fontana_Dam,Autoclaved,,Control
demultiplex.bc1012--bc1044.hifi_reads.fastq,Bsal_D14_MCA 1.3,14,Bsal,Mount_Cammerer,Autoclaved,,Control
demultiplex.bc1012--bc1060.hifi_reads.fastq,Bd_D1_NA_NG1.2,1,Bd,Newfound_Gap,Non_autoclaved,,True_sample
demultiplex.bc1012--bc1062.hifi_reads.fastq,Bd_D1_NA_DG1.1,1,Bd,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1012--bc1065.hifi_reads.fastq,Bd_D14_NA_NG1.3,14,Bd,Newfound_Gap,Non_autoclaved,,True_sample
demultiplex.bc1012--bc1075.hifi_reads.fastq,Bd_D14_NA_DG1.2,14,Bd,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1012--bc1076.hifi_reads.fastq,Bsal_D1_NA_CD1.2,1,Bsal,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1012--bc1082.hifi_reads.fastq,Bsal_D7_NA_FD1.1,7,Bsal,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1012--bc1083.hifi_reads.fastq,Bsal_D7_NA_CD1.3,7,Bsal,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1012--bc1089.hifi_reads.fastq,Bsal_D14_NA_FD1.2,14,Bsal,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1012--bc1096.hifi_reads.fastq,Bsal_D14_NA_MC1.1,14,Bsal,Mount_Cammerer,Non_autoclaved,,True_sample
demultiplex.bc1012--bc1101.hifi_reads.fastq,Bsal_D14_BA1.3,14,Bsal,Broth,NA,,Control
demultiplex.bc1015--bc1044.hifi_reads.fastq,Bsal_D14_DGA 1.1,14,Bsal,Davenport_Gap,Autoclaved,,Control
demultiplex.bc1015--bc1060.hifi_reads.fastq,Bd_D1_NA_NG1.3,1,Bd,Newfound_Gap,Non_autoclaved,,True_sample
demultiplex.bc1015--bc1062.hifi_reads.fastq,Bd_D1_NA_DG1.2,1,Bd,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1015--bc1065.hifi_reads.fastq,Bd_D14_NA_CD1.1,14,Bd,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1015--bc1075.hifi_reads.fastq,Bd_D14_NA_DG1.3,14,Bd,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1015--bc1076.hifi_reads.fastq,Bsal_D1_NA_CD1.3,1,Bsal,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1015--bc1082.hifi_reads.fastq,Bsal_D7_NA_FD1.2,7,Bsal,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1015--bc1083.hifi_reads.fastq,Bsal_D7_NA_MC1.1,7,Bsal,Mount_Cammerer,Non_autoclaved,,True_sample
demultiplex.bc1015--bc1089.hifi_reads.fastq,Bsal_D14_NA_FD1.3,14,Bsal,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1015--bc1096.hifi_reads.fastq,Bsal_D14_NA_MC1.2,14,Bsal,Mount_Cammerer,Non_autoclaved,,True_sample
demultiplex.bc1015--bc1105.hifi_reads.fastq,Bsal_D14_CDA_1.1,14,Bsal,Clingmans_Dome,Autoclaved,,Control
demultiplex.bc1020--bc1035.hifi_reads.fastq,Bsal_D14_NGA1.2,14,Bsal,Newfound_Gap,Autoclaved,,Control
demultiplex.bc1020--bc1060.hifi_reads.fastq,Bd_D1_NA_CD1.1,1,Bd,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1020--bc1062.hifi_reads.fastq,Bd_D1_NA_DG1.3,1,Bd,Davenport_Gap,Non_autoclaved,,True_sample
demultiplex.bc1020--bc1065.hifi_reads.fastq,Bd_D14_NA_CD1.2,14,Bd,Clingmans_Dome,Non_autoclaved,,True_sample
demultiplex.bc1020--bc1075.hifi_reads.fastq,Bsal_D1_NA_FD1.2,1,Bsal,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1020--bc1076.hifi_reads.fastq,Bsal_D1_NA_MC1.1,1,Bsal,Mount_Cammerer,Non_autoclaved,,True_sample
demultiplex.bc1020--bc1082.hifi_reads.fastq,Bsal_D7_NA_FD1.3,7,Bsal,Fontana_Dam,Non_autoclaved,,True_sample
demultiplex.bc1020--bc1083.hifi_reads.fastq,Bsal_D7_NA_MC1.2,7,Bsal,Mount_Cammerer,Non_autoclaved,,True_sample
demultiplex.bc1020--bc1089.hifi_reads.fastq,Bsal_D14_NA_NG1.1,14,Bsal,Newfound_Gap,Non_autoclaved,,True_sample
