File_name,Count,Day,Fluor_type,Lower_threshold,Well_no,Soil_initials,Soil_type,Sterilization_status,Inoc_type,
Bd_D14_E7_dead,60,14,Red,,E7,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E7_live,327.5,14,Green,,E7,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E8_dead,281,14,Red,,E8,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E8_live,434,14,Green,,E8,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E9_dead,93,14,Red,,E9,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E9_live,213,14,Green,,E9,MC,Mt Cammerer,Autoclaved,10^3,
Bd_D14_E10_dead,374.5,14,Red,,E10,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_E10_live,223.5,14,Green,,E10,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_E11_dead,308.5,14,Red,,E11,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_E11_live,180.5,14,Green,,E11,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_E12_dead,166,14,Red,,E12,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_E12_live,131.5,14,Green,,E12,MC,Mt Cammerer,Autoclaved,10^5,
Bd_D14_F1_dead,224,14,Red,,F1,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F1_live,1402.5,14,Green,,F1,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F2_dead,504.5,14,Red,,F2,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F2_live,1419.5,14,Green,,F2,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F3_dead,415.5,14,Red,,F3,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F3_live,1561.5,14,Green,,F3,DG,Davenport Gap,Non-autoclaved,10^3,
Bd_D14_F4_dead,234.5,14,Red,,F4,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F4_live,1671.5,14,Green,,F4,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F5_dead,78.5,14,Red,,F5,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F5_live,1694,14,Green,,F5,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F6_dead,319.5,14,Red,,F6,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F6_live,1531,14,Green,,F6,DG,Davenport Gap,Non-autoclaved,10^5,
Bd_D14_F7_dead,42.5,14,Red,,F7,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F7_live,833,14,Green,,F7,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F8_dead,68.5,14,Red,,F8,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F8_live,251,14,Green,,F8,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F9_dead,22,14,Red,,F9,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F9_live,39.5,14,Green,,F9,DG,Davenport Gap,Autoclaved,10^3,
Bd_D14_F10_dead,192.5,14,Red,,F10,DG,Davenport Gap,Autoclaved,10^5,
Bd_D14_F10_live,776.5,14,Green,,F10,DG,Davenport Gap,Autoclaved,10^5,
Bd_D14_F11_dead,340,14,Red,,F11,DG,Davenport Gap,Autoclaved,10^5,
Bd_D14_F11_live,898.5,14,Green,,F11,DG,Davenport Gap,Autoclaved,10^5,
Bd_D14_F12_dead,233,14,Red,,F12,DG,Davenport Gap,Autoclaved,10^5,
Bd_D14_F12_live,573,14,Green,,F12,DG,Davenport Gap,Autoclaved,10^5,
