File_name,Count,Day,Fluor_type,Lower_threshold,Well_no,Soil_initials,Soil_type,Sterilization_status,Inoc_type
Bsal_D14_A1_dead,31,14,Red,10,A1,B,Broth,Non-autoclaved,10^3
Bsal_D14_A1_live,12,14,Green,10,A1,B,Broth,Non-autoclaved,10^3
Bsal_D14_A2_dead,16.5,14,Red,10,A2,B,Broth,Non-autoclaved,10^3
Bsal_D14_A2_live,2001,14,Green,10,A2,B,Broth,Non-autoclaved,10^3
Bsal_D14_A3_dead,0,14,Red,10,A3,B,Broth,Non-autoclaved,10^3
Bsal_D14_A3_live,53,14,Green,10,A3,B,Broth,Non-autoclaved,10^3
Bsal_D14_A4_dead,0,14,Red,10,A4,B,Broth,Non-autoclaved,10^4
Bsal_D14_A4_live,194.5,14,Green,10,A4,B,Broth,Non-autoclaved,10^4
Bsal_D14_A5_dead,19,14,Red,10,A5,B,Broth,Non-autoclaved,10^4
Bsal_D14_A5_live,1109,14,Green,10,A5,B,Broth,Non-autoclaved,10^4
Bsal_D14_A6_dead,0,14,Red,10,A6,B,Broth,Non-autoclaved,10^4
Bsal_D14_A6_live,111.5,14,Green,10,A6,B,Broth,Non-autoclaved,10^4
Bsal_D14_A7_dead,116.5,14,Red,10,A7,B,Broth,Autoclaved,10^3
Bsal_D14_A7_live,62.5,14,Green,10,A7,B,Broth,Autoclaved,10^3
Bsal_D14_A8_dead,163,14,Red,10,A8,B,Broth,Autoclaved,10^3
Bsal_D14_A8_live,43,14,Green,10,A8,B,Broth,Autoclaved,10^3
Bsal_D14_A9_dead,16.5,14,Red,10,A9,B,Broth,Autoclaved,10^3
Bsal_D14_A9_live,52,14,Green,10,A9,B,Broth,Autoclaved,10^3
Bsal_D14_A10_dead,2,14,Red,10,A10,B,Broth,Autoclaved,10^4
Bsal_D14_A10_live,91.5,14,Green,10,A10,B,Broth,Autoclaved,10^4
Bsal_D14_A11_dead,8.5,14,Red,10,A11,B,Broth,Autoclaved,10^4
Bsal_D14_A11_live,213,14,Green,10,A11,B,Broth,Autoclaved,10^4
Bsal_D14_A12_dead,2,14,Red,10,A12,B,Broth,Autoclaved,10^4
Bsal_D14_A12_live,45,14,Green,10,A12,B,Broth,Autoclaved,10^4
Bsal_D14_B1_dead,11.5,14,Red,10,B1,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D14_B1_live,1606.5,14,Green,10,B1,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D14_B2_dead,98.5,14,Red,10,B2,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D14_B2_live,1677.5,14,Green,10,B2,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D14_B3_dead,35,14,Red,10,B2,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D14_B3_live,1288,14,Green,10,B3,FD,Fontana Dam,Non-autoclaved,10^3
Bsal_D14_B4_dead,8.5,14,Red,10,B4,FD,Fontana Dam,Non-autoclaved,10^4
Bsal_D14_B4_live,459.5,14,Green,10,B4,FD,Fontana Dam,Non-autoclaved,10^4
Bsal_D14_B5_dead,51,14,Red,10,B5,FD,Fontana Dam,Non-autoclaved,10^4
Bsal_D14_B5_live,970,14,Green,10,B5,FD,Fontana Dam,Non-autoclaved,10^4
Bsal_D14_B6_dead,491,14,Red,10,B6,FD,Fontana Dam,Non-autoclaved,10^4
Bsal_D14_B6_live,1116,14,Green,10,B6,FD,Fontana Dam,Non-autoclaved,10^4
