File_name,Count,Day,Fluor_type,Lower_threshold,Well_no,Soil_initials,Soil_type,Sterilization_status,Inoc_type
Bd_D4_C11_dead,0,4,Red,10,C11,NG,Newfound Gap,Autoclaved,10^5
Bd_D4_C11_live,133,4,Green,10,C11,NG,Newfound Gap,Autoclaved,10^5
Bd_D4_C12_dead,0,4,Red,10,C12,NG,Newfound Gap,Autoclaved,10^5
Bd_D4_C12_live,85,4,Green,10,C12,NG,Newfound Gap,Autoclaved,10^5
Bd_D4_D1_live,1303,4,Green,10,D1,CD,Clingman's Dome,Non-autoclaved,10^3
Bd_D4_D1_dead,106,4,Red,10,D1,CD,Clingman's Dome,Non-autoclaved,10^3
Bd_D4_D2_dead,112,4,Red,10,D2,CD,Clingman's Dome,Non-autoclaved,10^3
Bd_D4_D2_live,1557,4,Green,10,D2,CD,Clingman's Dome,Non-autoclaved,10^3
Bd_D4_D3_dead,166,4,Red,10,D3,CD,Clingman's Dome,Non-autoclaved,10^3
Bd_D4_D3_live,2270,4,Green,10,D3,CD,Clingman's Dome,Non-autoclaved,10^3
Bd_D4_D4_dead,115,4,Red,10,D4,CD,Clingman's Dome,Non-autoclaved,10^5
Bd_D4_D4_live,1909,4,Green,10,D4,CD,Clingman's Dome,Non-autoclaved,10^5
Bd_D4_D5_dead,107,4,Red,10,D5,CD,Clingman's Dome,Non-autoclaved,10^5
Bd_D4_D5_live,2206,4,Green,10,D5,CD,Clingman's Dome,Non-autoclaved,10^5
Bd_D4_D6_dead,120,4,Red,10,D6,CD,Clingman's Dome,Non-autoclaved,10^5
Bd_D4_D6_live,1770,4,Green,10,D6,CD,Clingman's Dome,Non-autoclaved,10^5
Bd_D4_D7_dead,79,4,Red,10,D7,CD,Clingman's Dome,Autoclaved,10^3
Bd_D4_D7_live,381,4,Green,10,D7,CD,Clingman's Dome,Autoclaved,10^3
Bd_D4_D8_dead,113,4,Red,10,D8,CD,Clingman's Dome,Autoclaved,10^3
Bd_D4_D8_live,150,4,Green,10,D8,CD,Clingman's Dome,Autoclaved,10^3
Bd_D4_D9_dead,42,4,Red,10,D9,CD,Clingman's Dome,Autoclaved,10^3
Bd_D4_D9_live,171,4,Green,10,D9,CD,Clingman's Dome,Autoclaved,10^3
Bd_D4_D10_dead,499,4,Red,10,D10,CD,Clingman's Dome,Autoclaved,10^5
Bd_D4_D10_live,408,4,Green,10,D10,CD,Clingman's Dome,Autoclaved,10^5
Bd_D4_D11_dead,273,4,Red,10,D11,CD,Clingman's Dome,Autoclaved,10^5
Bd_D4_D11_live,533,4,Green,10,D11,CD,Clingman's Dome,Autoclaved,10^5
Bd_D4_D12_dead,37,4,Red,10,D12,CD,Clingman's Dome,Autoclaved,10^5
Bd_D4_D12_live,429,4,Green,10,D12,CD,Clingman's Dome,Autoclaved,10^5
Bd_D4_E1_dead,217,4,Red,10,E1,MC,Mt Cammerer,Non-autoclaved,10^3
Bd_D4_E1_live,1283,4,Green,10,E1,MC,Mt Cammerer,Non-autoclaved,10^3
Bd_D4_E2_dead,450,4,Red,10,E2,MC,Mt Cammerer,Non-autoclaved,10^3
Bd_D4_E2_live,651,4,Green,10,E2,MC,Mt Cammerer,Non-autoclaved,10^3
Bd_D4_E3_dead,204,4,Red,10,E3,MC,Mt Cammerer,Non-autoclaved,10^3
Bd_D4_E3_live,643,4,Green,10,E3,MC,Mt Cammerer,Non-autoclaved,10^3
Bd_D4_E4_dead,222,4,Red,10,E4,MC,Mt Cammerer,Non-autoclaved,10^5
Bd_D4_E4_live,1116,4,Green,10,E4,MC,Mt Cammerer,Non-autoclaved,10^5
Bd_D4_E5_dead,55,4,Red,10,E5,MC,Mt Cammerer,Non-autoclaved,10^5
Bd_D4_E5_live,571,4,Green,10,E5,MC,Mt Cammerer,Non-autoclaved,10^5
Bd_D4_E6_dead,314,4,Red,10,E6,MC,Mt Cammerer,Non-autoclaved,10^5
Bd_D4_E6_live,669,4,Green,10,E6,MC,Mt Cammerer,Non-autoclaved,10^5
Bd_D4_E7_dead,43,4,Red,10,E7,MC,Mt Cammerer,Autoclaved,10^3
Bd_D4_E7_live,1036,4,Green,10,E7,MC,Mt Cammerer,Autoclaved,10^3
Bd_D4_E8_dead,78,4,Red,10,E8,MC,Mt Cammerer,Autoclaved,10^3
Bd_D4_E8_live,623,4,Green,10,E8,MC,Mt Cammerer,Autoclaved,10^3
Bd_D4_E9_dead,58,4,Red,10,E9,MC,Mt Cammerer,Autoclaved,10^3
Bd_D4_E9_live,1272,4,Green,10,E9,MC,Mt Cammerer,Autoclaved,10^3
Bd_D4_E10_dead,40,4,Red,10,E10,MC,Mt Cammerer,Autoclaved,10^5
Bd_D4_E10_live,359,4,Green,10,E10,MC,Mt Cammerer,Autoclaved,10^5
Bd_D4_E11_dead,26,4,Red,10,E11,MC,Mt Cammerer,Autoclaved,10^5
Bd_D4_E11_live,1011,4,Green,10,E11,MC,Mt Cammerer,Autoclaved,10^5
Bd_D4_E12_dead,46,4,Red,10,E12,MC,Mt Cammerer,Autoclaved,10^5
Bd_D4_E12_live,346,4,Green,10,E12,MC,Mt Cammerer,Autoclaved,10^5
Bd_D4_F1_dead,51,4,Red,10,F1,DG,Davenport Gap,Non-autoclaved,10^3
Bd_D4_F1_live,1180,4,Green,10,F1,DG,Davenport Gap,Non-autoclaved,10^3
Bd_D4_F2_dead,63,4,Red,10,F2,DG,Davenport Gap,Non-autoclaved,10^3
Bd_D4_F2_live,1351,4,Green,10,F2,DG,Davenport Gap,Non-autoclaved,10^3
Bd_D4_F3_dead,90,4,Red,10,F3,DG,Davenport Gap,Non-autoclaved,10^3
Bd_D4_F3_live,1586,4,Green,10,F3,DG,Davenport Gap,Non-autoclaved,10^3
Bd_D4_F4_dead,76,4,Red,10,F4,DG,Davenport Gap,Non-autoclaved,10^5
Bd_D4_F4_live,1342,4,Green,10,F4,DG,Davenport Gap,Non-autoclaved,10^5
Bd_D4_F5_dead,95,4,Red,10,F5,DG,Davenport Gap,Non-autoclaved,10^5
Bd_D4_F5_live,1436,4,Green,10,F5,DG,Davenport Gap,Non-autoclaved,10^5
Bd_D4_F6_dead,96,4,Red,10,F6,DG,Davenport Gap,Non-autoclaved,10^5
Bd_D4_F6_live,1305,4,Green,10,F6,DG,Davenport Gap,Non-autoclaved,10^5
Bd_D4_F7_dead,108,4,Red,10,F7,DG,Davenport Gap,Autoclaved,10^3
Bd_D4_F7_live,169,4,Green,10,F7,DG,Davenport Gap,Autoclaved,10^3
Bd_D4_F8_dead,94,4,Red,10,F8,DG,Davenport Gap,Autoclaved,10^3
Bd_D4_F8_live,215,4,Green,10,F8,DG,Davenport Gap,Autoclaved,10^3
Bd_D4_F9_dead,163,4,Red,10,F9,DG,Davenport Gap,Autoclaved,10^3
Bd_D4_F9_live,126,4,Green,10,F9,DG,Davenport Gap,Autoclaved,10^3
Bd_D4_F10_dead,149,4,Red,10,F10,DG,Davenport Gap,Autoclaved,10^5
Bd_D4_F10_live,100,4,Green,10,F10,DG,Davenport Gap,Autoclaved,10^5
Bd_D4_F11_dead,119,4,Red,10,F11,DG,Davenport Gap,Autoclaved,10^5
Bd_D4_F11_live,200,4,Green,10,F11,DG,Davenport Gap,Autoclaved,10^5
Bd_D4_F12_dead,62,4,Red,10,F12,DG,Davenport Gap,Autoclaved,10^5
Bd_D4_F12_live,129,4,Green,10,F12,DG,Davenport Gap,Autoclaved,10^5
